block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,svd_bytes,smooth_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,svd_flops/token,smooth_flops/token,act_quant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,svd_flops/image,smooth_flops/image,act_quant_flops/image,total_flops/image,eff_bits/weight
1,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
1,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
1,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
2,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
2,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
2,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
3,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
3,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
3,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
4,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
4,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
4,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
5,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
5,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
5,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
6,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
6,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
6,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
7,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,attn2.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
7,ff.net.0.proj,4608x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,2654208,663552,368640,2304,3688704,FP16,16,9216.0,2 x 4608 x 1152 x 0.5,0.5,5308416,10616832,737280,2304,1152,16665984,21743271936,43486543872,3019898880,9437184,4718592,68263870464,5.56
7,ff.net.2,1152x4608,NVFP4,4,2304.0,NVFP4,4,16,FP16,16,2654208,663552,368640,9216,3695616,FP16,16,2304.0,2 x 1152 x 4608 x 0.5,0.5,5308416,10616832,737280,9216,4608,16676352,21743271936,43486543872,3019898880,37748736,18874368,68306337792,5.57
8,attn1.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn1.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn1.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn1.to_out.0,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn2.to_q,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn2.to_k,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
8,attn2.to_v,1152x1152,NVFP4,4,576.0,NVFP4,4,16,FP16,16,663552,165888,147456,2304,979200,FP16,16,2304.0,2 x 1152 x 1152 x 0.5,0.5,1327104,2654208,294912,2304,1152,4279680,5435817984,10871635968,1207959552,9437184,4718592,17529569280,5.9
